id,car,task,order,attentive_percentage,inattentive_percentage,eyeglasses,age,gender,dr_lic_years,annual_km,lifetime_km,VST1,VST2,VST3,VST_avg,tasks,zero_tasks,inattentiveness_ratio,Zorder,Ztasks,Zdr_lic_years,Zage,Zinattentiveness_ratio
ID7P16,ID7,a_baseline, ,94.7727272727273,5.22727272727273,1,37,1,7,5000,30000,30,37,38,35, ,0, , , ,-.988804973725597,-.282569917735762, 
ID7P16,ID7,kirkkaus,10,88.4945621064682,11.5054378935318,1,37,1,7,5000,30000,30,37,38,35,0,1,2.00817250853831,1.56524758424985,-1.1361074695084,-.988804973725597,-.282569917735762,.196928458811769
ID7P16,ID7,lane,3,97.3654066437572,2.63459335624284,1,37,1,7,5000,30000,30,37,38,35,19,0,.583657327305434,-.869581991249919,1.07113786985085,-.988804973725597,-.282569917735762,-.765345450258085
ID7P16,ID7,latausasema,4,89.8285714285714,10.1714285714286,1,37,1,7,5000,30000,30,37,38,35,1,0,1.79395203344666,-.521749194749952,-1.0199366621737,-.988804973725597,-.282569917735762,.0522204369633568
ID7P16,ID7,navi,2,97.1461187214612,2.85388127853881,1,37,1,7,5000,30000,30,37,38,35,2,0,.618871446215818,-1.21741478774989,-.903765854839006,-.988804973725597,-.282569917735762,-.741557969222594
ID7P16,ID7,puhelu,8,96.2563811684629,3.74361883153715,1,37,1,7,5000,30000,30,37,38,35,7,0,.761749009477283,.869581991249917,-.322911818165519,-.988804973725597,-.282569917735762,-.645042780666306
ID7P16,ID7,radio,5,89.9428571428572,10.0571428571429,1,37,1,7,5000,30000,30,37,38,35,5,0,1.77559958297662,-.173916398249985,-.555253432834914,-.988804973725597,-.282569917735762,.0398231775396041
ID7P16,ID7,seat,6,89.1861126920888,10.8138873079112,1,37,1,7,5000,30000,30,37,38,35,13,0,1.89712058967467,.173916398249983,.374113025842664,-.988804973725597,-.282569917735762,.121911803684136
ID7P17,ID7,ac_suunta,8,86.0411899313501,13.9588100686499,2,27,1,9,10000,120000,25,28,26,26.33,20,0,1.63205789002999,.869581991249917,1.18730867718554,-.853455243481789,-.945994941984942,-.0571406371013291
ID7P17,ID7,ac_temp,10,85.1660939289805,14.8339060710195,2,27,1,9,10000,120000,25,28,26,26.33,20,0,1.72753388903302,1.56524758424985,1.18730867718554,-.853455243481789,-.945994941984942,.00735433212987533
ID7P17,ID7,ajotila,5,83.5341365461847,16.4658634538153,2,27,1,9,10000,120000,25,28,26,26.33,28,0,1.9055860810564,-.173916398249985,2.11667513586312,-.853455243481789,-.945994941984942,.127630325740917
ID7P17,ID7,a_baseline, ,91.8343875790684,8.16561242093157,2,27,1,9,10000,120000,25,28,26,26.33, ,0, , , ,-.853455243481789,-.945994941984942, 
ID7P17,ID7,kirkkaus,7,89.5281933256617,10.4718066743383,2,27,1,9,10000,120000,25,28,26,26.33,26,0,1.25161376538838,.52174919474995,1.88433352119373,-.853455243481789,-.945994941984942,-.314134356666112
ID7P17,ID7,lane,3,91.0388127853881,8.96118721461187,2,27,1,9,10000,120000,25,28,26,26.33,23,0,1.08679996022842,-.869581991249919,1.53582109918964,-.853455243481789,-.945994941984942,-.425467690736091
ID7P17,ID7,latausasema,9,91.8145392100744,8.18546078992559,2,27,1,9,10000,120000,25,28,26,26.33,4,0,1.00216552566418,1.21741478774988,-.671424240169611,-.853455243481789,-.945994941984942,-.482639077368532
ID7P17,ID7,navi,4,92.2018348623853,7.79816513761468,2,27,1,9,10000,120000,25,28,26,26.33,3,0,.959910231143591,-.521749194749952,-.787595047504308,-.853455243481789,-.945994941984942,-.511182941254933
ID7P17,ID7,puhelu,1,93.6109526525955,6.38904734740445,2,27,1,9,10000,120000,25,28,26,26.33,10,0,.806170609011883,-1.56524758424985,.0256006038385723,-.853455243481789,-.945994941984942,-.615035556598466
ID7P17,ID7,radio,2,93.271995399655,6.72800460034503,2,27,1,9,10000,120000,25,28,26,26.33,8,0,.843152017058766,-1.21741478774989,-.206741010830822,-.853455243481789,-.945994941984942,-.590054254501438
ID7P17,ID7,seat,6,88.8316151202749,11.1683848797251,2,27,1,9,10000,120000,25,28,26,26.33,23,0,1.32761285561729,.173916398249983,1.53582109918964,-.853455243481789,-.945994941984942,-.262796229418475
